# Eg [keV]     gsf[1/MeV^3]   sigma_gsf[1/MeV^3]
4402.13     8.76898e-09     7.67514e-09
4402.38     9.59305e-09     8.32893e-09
4402.91     7.54476e-09     6.63862e-09
4428.1     8.57646e-09     7.96345e-09
4432.82     8.96311e-09     8.29439e-09
4433.7     6.91628e-09     6.33835e-09
4498.72     9.19874e-09     7.84693e-09
4503.87     8.98406e-09     8.16017e-09
4529.62     9.14085e-09     7.68714e-09
4531.55     1.01983e-08     8.6192e-09
4534.82     8.23555e-09     7.55779e-09
4554.24     9.47403e-09     7.73559e-09
4558.77     8.18639e-09     7.46667e-09
4579.43     9.95629e-09     9.20081e-09
4582.04     1.05668e-08     8.65425e-09
4585.78     9.12488e-09     8.39911e-09
4616.7     1.02417e-08     9.28438e-09
4617.82     1.09487e-08     8.86065e-09
4639.91     1.11402e-08     8.96004e-09
4639.91     1.15157e-08     9.26202e-09
4666.13     1.05315e-08     8.19116e-09
4669.15     9.42611e-09     8.62293e-09
4696.2     1.11012e-08     1.02493e-08
4726.11     1.09821e-08     1.01079e-08
4763.3     1.13268e-08     1.03552e-08
4766.29     1.13436e-08     1.03432e-08
4784.86     1.04347e-08     9.46041e-09
4807.47     1.08567e-08     9.97782e-09
4810.61     1.01877e-08     9.32127e-09
4822.54     1.04192e-08     9.55097e-09
4835.27     1.095e-08     9.94687e-09
4844.24     1.09259e-08     9.94833e-09
4848.45     1.08859e-08     9.85036e-09
4895.04     9.63569e-09     8.7745e-09
4897.25     1.05422e-08     9.62277e-09
4912.65     8.08181e-09     7.29111e-09
4924.29     1.04246e-08     9.3565e-09
4984.17     1.14433e-08     1.02756e-08
4991.44     9.09015e-09     8.17141e-09
4992.17     9.05733e-09     8.07474e-09
4999.05     1.03463e-08     9.17547e-09
5006.98     1.04836e-08     9.3865e-09
5012.81     9.35991e-09     8.33812e-09
5075.07     1.10279e-08     9.67457e-09
5102.76     1.14859e-08     9.97584e-09
5106.56     1.2564e-08     1.09491e-08
5162.54     1.24887e-08     1.05612e-08
5176.32     1.26783e-08     1.0662e-08
5198.98     1.37762e-08     1.15225e-08
5225.53     1.22982e-08     1.01833e-08
5229.17     1.28775e-08     1.06719e-08
5231.97     1.59198e-08     1.29429e-08

